code,system
Zw04400,readv2
N140800,readv2
N130100,readv2
N140400,readv2
N140300,readv2
N140700,readv2
N130000,readv2
N140100,readv2
Zw04500,readv2
Zw04300,readv2
N140900,readv2
N140200,readv2
N140.11,readv2
N140z00,readv2
43577.0,readv2
97870.0,readv2
41147.0,readv2
3370.0,readv2
106536.0,readv2
93836.0,readv2
15331.0,readv2
93849.0,readv2
98630.0,readv2
91625.0,readv2
94588.0,readv2
73730.0,readv2
12094.0,readv2
35117.0,readv2
72614.0,readv2
69388.0,readv2
9912.0,readv2
52139.0,readv2
62612.0,readv2
45296.0,readv2
M48.0,readv2
N130300,readv2
N140A00,readv2
N140600,readv2
N130.00,readv2
N140.00,readv2
N140000,readv2
